Item,Designation,Quantity,Unnamed: 3,Price in GBP,Total in
,,,,per unit,GBP
10.0,FIELD SERVICE MECHANICAL HAND,"1,000",EA,"27.300,00","27.300,00"
,TOOL KIT,,,,
,Material: CT63092/01/FST,,,,
,HS Code: 82055980 AL: N ECCN: N,ECL:,,,
,Country of origin: GB,,,,
,Package No.: 396844101,,,,
,Delivery: 80461060 / 000010,,,,
,UCR No.: SIK120000396844,,,,
20.0,INSIDE MICROMETER 100-1300MM,"1,000",EA,"428,95","428,95"
,Material: SP006375/FST,,,,
,HS Code: 90173000 AL: N ECCN: N,ECL:,,,
,Country of origin: JP,,,,
,Package No.: 396844101,,,,
,Delivery: 80461060 / 000020,,,,
,UCR No.: SIK120000396844,,,,
30.0,OPTICAL ALIGNMENT EQUIPMENT,"1,000",EA,"18.758,25","18.758,25"
,Material: SP107976/FST,,,,
,HS Code: 90318020 AL: N ECCN: N,ECL:,,,
,Country of origin: DE,,,,
,Package No.: 396844101,,,,
,Delivery: 80461060 / 000030,,,,
,UCR No.: SIK120000396844,,,,
40.0,TPI ULTRA HAND HELD VIBRATION,"1,000",EA,"5.950,00","5.950,00"
